region,disaggregation,disagg.value,section,continued_breastfeeding_1yr_2014-2020,Dairy_2018,early_initiation_2014-2020,exclusive_breastfeeding_2014-2020,Fish_2018,Fruit_2018,Legumes_2018,minimum_accept_diet_2014-2020,minimum_diet_diversity_2014-2020,minimum_meal_2014-2020,Nuts_2018,Red meat_2018,solid_foods_2014-2020,Vegetables_2018,Whole grains_2018
Northern Europe,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Northern Europe,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Oceania,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Oceania,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Oceania,sex,Both,Diet,44.93,,,,,,,,,,,,,,
Polynesia,location,Sub-regional,Diet,,0.61,,,1.66,0.69,1.68,,,,0.74,2.03,,0.9,0.09
Polynesia,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Polynesia,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Polynesia,sex,Both,Diet,61.51,,66.61,61.35,,,,,,,,,78.91,,
South-eastern Asia,location,Sub-regional,Diet,,0.3,,,2.1,0.4,0.36,,,,0.34,2.74,,0.52,0.24
South-eastern Asia,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
South-eastern Asia,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
South-eastern Asia,sex,Both,Diet,59.04,,52.46,45.06,,,,41.24,51.5,74.5,,,85.66,,
South America,location,Sub-regional,Diet,,1.2,,,0.95,0.5,0.52,,,,0.3,5.55,,0.33,0.13
South America,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
South America,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
South America,sex,Both,Diet,,,,,,,,,,,,,,,
Southern Africa,location,Sub-regional,Diet,,0.52,,,0.23,0.22,0.3,,,,0.09,9.5,,0.45,0.53
Southern Africa,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Southern Africa,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Southern Africa,sex,Both,Diet,32.77,,65.74,33.47,,,,18.68,39.07,44.76,,,82.63,,
Southern Asia,location,Sub-regional,Diet,,0.43,,,0.42,0.22,0.26,,,,0.15,0.56,,0.55,0.83
Southern Asia,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Southern Asia,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Southern Asia,sex,Both,Diet,77.74,,49.7,56.98,,,,10.72,18.74,45.43,,,58.15,,
Southern Europe,location,Sub-regional,Diet,,2.04,,,1.94,0.81,0.17,,,,0.23,4.78,,0.55,0.25
Southern Europe,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Southern Europe,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Western Africa,location,Sub-regional,Diet,,0.21,,,1.38,0.24,0.18,,,,0.51,1.22,,0.31,0.41
Western Africa,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Western Africa,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Western Africa,sex,Both,Diet,66.97,,46.75,33.89,,,,11.68,22.58,43.67,,,70.7,,
Western Asia,location,Sub-regional,Diet,,1.94,,,0.99,0.5,0.36,,,,0.64,3.49,,0.39,0.14
Western Asia,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Western Asia,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Western Asia,sex,Both,Diet,42.07,,51.73,32.53,,,,,,,,,84.28,,
Western Europe,location,Sub-regional,Diet,,2.33,,,0.81,0.69,0.08,,,,0.13,3.69,,0.54,0.46
Western Europe,location,Target,Diet,,1,,,1,1,1,,,,1,1,,1,1
Western Europe,location,Within target,Diet,,1,,,1,1,1,,,,1,1,,1,1
