iso3,country,region,subregion,disaggregation,disagg.value,section,continued_breastfeeding_1yr_2000,continued_breastfeeding_1yr_2001,continued_breastfeeding_1yr_2002,continued_breastfeeding_1yr_2003,continued_breastfeeding_1yr_2004,continued_breastfeeding_1yr_2005,continued_breastfeeding_1yr_2006,continued_breastfeeding_1yr_2007,continued_breastfeeding_1yr_2008,continued_breastfeeding_1yr_2009,continued_breastfeeding_1yr_2010,continued_breastfeeding_1yr_2011,continued_breastfeeding_1yr_2012,continued_breastfeeding_1yr_2013,continued_breastfeeding_1yr_2014,continued_breastfeeding_1yr_2015,continued_breastfeeding_1yr_2016,continued_breastfeeding_1yr_2017,continued_breastfeeding_1yr_2018,continued_breastfeeding_1yr_2019,continued_breastfeeding_1yr_2020,Dairy_2018,early_initiation_2000,early_initiation_2001,early_initiation_2002,early_initiation_2003,early_initiation_2004,early_initiation_2005,early_initiation_2006,early_initiation_2007,early_initiation_2008,early_initiation_2009,early_initiation_2010,early_initiation_2011,early_initiation_2012,early_initiation_2013,early_initiation_2014,early_initiation_2015,early_initiation_2016,early_initiation_2017,early_initiation_2018,early_initiation_2019,early_initiation_2020,exclusive_breastfeeding_2000,exclusive_breastfeeding_2001,exclusive_breastfeeding_2002,exclusive_breastfeeding_2003,exclusive_breastfeeding_2004,exclusive_breastfeeding_2005,exclusive_breastfeeding_2006,exclusive_breastfeeding_2007,exclusive_breastfeeding_2008,exclusive_breastfeeding_2009,exclusive_breastfeeding_2010,exclusive_breastfeeding_2011,exclusive_breastfeeding_2012,exclusive_breastfeeding_2013,exclusive_breastfeeding_2014,exclusive_breastfeeding_2015,exclusive_breastfeeding_2016,exclusive_breastfeeding_2017,exclusive_breastfeeding_2018,exclusive_breastfeeding_2019,exclusive_breastfeeding_2020,Fish_2018,Fruit_2018,Legumes_2018,minimum_accept_diet_2009,minimum_accept_diet_2010,minimum_accept_diet_2011,minimum_accept_diet_2012,minimum_accept_diet_2013,minimum_accept_diet_2014,minimum_accept_diet_2015,minimum_accept_diet_2016,minimum_accept_diet_2017,minimum_accept_diet_2018,minimum_accept_diet_2019,minimum_accept_diet_2020,minimum_diet_diversity_2005,minimum_diet_diversity_2006,minimum_diet_diversity_2007,minimum_diet_diversity_2008,minimum_diet_diversity_2009,minimum_diet_diversity_2010,minimum_diet_diversity_2011,minimum_diet_diversity_2012,minimum_diet_diversity_2013,minimum_diet_diversity_2014,minimum_diet_diversity_2015,minimum_diet_diversity_2016,minimum_diet_diversity_2017,minimum_diet_diversity_2018,minimum_diet_diversity_2019,minimum_diet_diversity_2020,minimum_meal_2006,minimum_meal_2009,minimum_meal_2010,minimum_meal_2011,minimum_meal_2012,minimum_meal_2013,minimum_meal_2014,minimum_meal_2015,minimum_meal_2016,minimum_meal_2017,minimum_meal_2018,minimum_meal_2019,minimum_meal_2020,Nuts_2018,Red meat_2018,solid_foods_2000,solid_foods_2001,solid_foods_2002,solid_foods_2003,solid_foods_2004,solid_foods_2005,solid_foods_2006,solid_foods_2007,solid_foods_2008,solid_foods_2009,solid_foods_2010,solid_foods_2011,solid_foods_2012,solid_foods_2013,solid_foods_2014,solid_foods_2015,solid_foods_2016,solid_foods_2017,solid_foods_2018,solid_foods_2019,solid_foods_2020,Vegetables_2018,Whole grains_2018
AGO,Angola,Africa,Middle Africa,location,Urban,Diet,,,,,,,,,,,,,,,,62.51,,,,,,,,,,,,,,,,,,,,,,50.08,,,,,,,,,,,,,,,,,,,,,36.84,,,,,,,,,,,,,,,14.09,,,,,,,,,,,,,,,,33.08,,,,,,,,,,,,,33.93,,,,,,,,,,,,,,,,,,,,,,,80.37,,,,,,,
AGO,Angola,Africa,Middle Africa,location,Within target,Diet,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1
AGO,Angola,Africa,Middle Africa,sex,Both,Diet,,,,,,,,,,,,,,,,66.57,,,,,,,,,,,,,,54.9,,,,,,,,48.32,,,,,,,,,,,,,,,,,,,,,37.38,,,,,,,,,,,,,,,12.19,,,,,,,,,,,,,,,,29.07,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,78.77,,,,,,,
AGO,Angola,Africa,Middle Africa,sex,Boys,Diet,,,,,,,,,,,,,,,,68.22,,,,,,,,,,,,,,,,,,,,,,48.34,,,,,,,,,,,,,,,,,,,,,34.54,,,,,,,,,,,,,,,12.73,,,,,,,,,,,,,,,,29.37,,,,,,,,,,,,,32.17,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,
AGO,Angola,Africa,Middle Africa,sex,Girls,Diet,,,,,,,,,,,,,,,,64.96,,,,,,,,,,,,,,,,,,,,,,48.3,,,,,,,,,,,,,,,,,,,,,40.11,,,,,,,,,,,,,,,11.65,,,,,,,,,,,,,,,,28.77,,,,,,,,,,,,,29.83,,,,,,,,,,,,,,,,,,,,,,,85.1,,,,,,,
AGO,Angola,Africa,Middle Africa,wealth,Highest,Diet,,,,,,,,,,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,51.69,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,19.83,,,,,,,,,,,,,,,,44.69,,,,,,,,,,,,,46.39,,,,,,,,,,,,,,,,,,,,,,,85.49,,,,,,,
AGO,Angola,Africa,Middle Africa,wealth,Lowest,Diet,,,,,,,,,,,,,,,,74.36,,,,,,,,,,,,,,,,,,,,,,48.29,,,,,,,,,,,,,,,,,,,,,36.71,,,,,,,,,,,,,,,8.16,,,,,,,,,,,,,,,,19.33,,,,,,,,,,,,,28.32,,,,,,,,,,,,,,,,,,,,,,,80.09,,,,,,,
AGO,Angola,Africa,Middle Africa,wealth,Middle,Diet,,,,,,,,,,,,,,,,66.52,,,,,,,,,,,,,,,,,,,,,,52.32,,,,,,,,,,,,,,,,,,,,,43.61,,,,,,,,,,,,,,,13.43,,,,,,,,,,,,,,,,29.23,,,,,,,,,,,,,29.42,,,,,,,,,,,,,,,,,,,,,,,73.39,,,,,,,
AGO,Angola,Africa,Middle Africa,wealth,Second highest,Diet,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,46.88,,,,,,,,,,,,,,,,,,,,,34.48,,,,,,,,,,,,,,,13.72,,,,,,,,,,,,,,,,34.72,,,,,,,,,,,,,33.55,,,,,,,,,,,,,,,,,,,,,,,84.41,,,,,,,
AGO,Angola,Africa,Middle Africa,wealth,Second lowest,Diet,,,,,,,,,,,,,,,,70.58,,,,,,,,,,,,,,,,,,,,,,43.65,,,,,,,,,,,,,,,,,,,,,33.21,,,,,,,,,,,,,,,8.71,,,,,,,,,,,,,,,,23.62,,,,,,,,,,,,,23.05,,,,,,,,,,,,,,,,,,,,,,,73.49,,,,,,,
