series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Protein (g/person/day),101.16593,102.24986,102.11845,104.300186,105.30711,105.96859,108.15595,110.549065,111.867645,109.976746,112.226906,113.908615,116.06433,116.37272,118.00058,118.22328,117.68957,118.28126,118.70194,119.699814,118.11988
Protein (g/person/day),118.546196,120.262886,120.22185,117.80655,115.798096,113.00951,112.66667,112.18989,114.09757,112.61307,113.83582,112.44672,111.986084,111.5484,111.3514,113.224686,113.999084,113.835236,112.99937,120.874756,121.3653
Protein (g/person/day),87.76798,90.10547,91.876656,92.23659,93.59852,92.98075,91.01533,95.18167,92.914185,92.5508,91.98626,91.57704,92.050446,92.06004,92.23679,92.024155,89.47393,88.865616,90.46687,89.81671,89.73378
Protein (g/person/day),75.75934,74.54544,69.5513,70.52561,74.14077,76.33679,76.99117,75.170944,72.4729,72.73714,74.41797,77.13415,80.02483,80.02621,81.88855,82.97988,79.24353,77.8539,79.22035,75.76173,77.74483
Protein (g/person/day),50.526524,49.67096,50.383163,51.565178,49.861156,49.513313,49.92547,52.75165,54.52008,54.08972,59.150146,56.1369,54.099255,53.248302,59.91495,60.594936,60.420605,60.24094,58.218933,58.793766,58.125774
Protein (g/person/day),82.55222,84.11702,90.399895,94.72388,94.63833,96.65824,85.6907,87.95405,90.74646,85.812126,83.60741,82.82311,82.276505,83.21463,85.29868,85.890915,83.25609,83.25851,85.51678,89.923584,89.91201
Protein (g/person/day),96.730606,100.3432,101.724785,100.88944,99.803696,100.09262,102.31038,105.51376,103.9767,104.98625,103.93829,105.00158,103.3457,102.86108,103.619896,104.77332,104.49528,104.092354,105.78928,105.49597,106.46812
Protein (g/person/day),49.308456,50.526234,52.214092,52.483707,55.356087,55.75802,58.12299,56.580257,60.354053,61.037067,60.37375,62.729023,62.263588,60.94818,59.427437,58.29096,56.416035,58.74832,60.323437,61.014633,63.02378
Protein (g/person/day),120.220726,114.703606,113.145325,116.95789,116.42502,113.803604,113.0967,114.85583,112.0248,113.70541,112.52191,109.96006,109.03149,110.061615,107.43386,104.78848,103.73326,104.76844,108.53222,105.28892,101.729576
Protein (g/person/day),56.72363,59.76655,67.10104,66.930756,69.1751,72.485214,72.318794,68.892784,68.346,68.85891,67.53599,66.45315,65.25403,64.132904,63.48618,65.92013,64.5937,67.379814,67.627716,66.86036,69.49251
Protein (g/person/day),52.364094,55.372433,58.763622,57.750362,57.584515,57.723896,59.82831,59.916664,58.792194,62.060337,66.06228,66.75596,67.75309,66.97437,69.42233,70.92493,71.40736,72.429955,70.58811,70.83427,71.99158
Protein (g/person/day),53.7854,54.007885,54.20564,54.932457,54.828915,53.99792,55.124832,55.038578,56.480564,58.190407,53.36776,54.170048,55.31021,57.0493,56.29929,54.809868,56.087826,55.60386,56.973476,57.67005,57.294327
Protein (g/person/day),45.67206,46.213394,45.550922,43.943604,44.40421,44.81259,44.573517,44.614918,45.12973,44.22848,42.369637,42.216858,42.467358,43.1667,41.045113,40.936134,42.059597,42.670044,42.27066,43.020515,43.541573
Protein (g/person/day),78.314865,74.51294,75.956764,79.5668,76.6927,77.04029,72.76001,74.90046,76.26657,76.85614,77.63017,80.30926,83.175125,80.45711,86.6103,93.95654,91.35349,91.42998,89.93864,88.29622,90.010445
Protein (g/person/day),44.06881,42.69986,42.389477,43.855797,43.319515,43.74427,44.055775,45.91968,45.68745,47.266285,48.93191,47.160236,47.540676,48.187668,49.063744,50.038643,50.103096,50.727154,49.27989,46.32213,46.1575
Protein (g/person/day),55.926765,56.52101,57.243248,58.1639,58.045765,59.818695,58.88392,60.100014,61.491318,57.784973,57.582695,58.94645,58.151325,58.06327,56.75104,58.808666,60.5406,59.903076,61.319862,60.85189,59.88702
Protein (g/person/day),102.22248,99.49011,98.00545,99.19495,104.68167,109.844986,108.59065,111.006325,116.57685,123.11089,117.20954,124.89883,121.20268,119.1471,124.88856,119.26096,127.443474,133.07745,126.76599,133.14621,139.78589
Protein (g/person/day),91.34608,88.95744,89.29085,87.47649,90.78085,90.79204,90.57921,87.4223,86.65401,85.29062,81.75996,82.27187,81.09791,79.32097,82.52058,84.51736,86.588615,87.95719,89.262184,89.90128,86.601204
