Country,Series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,BMI,24.420677634064802,24.507149034349048,24.59092624056035,24.6719529180503,24.750855919138047,24.8272873367071,24.9023835975216,24.97837306261825,25.05777855249545,25.13945166958345,25.222069939802353,25.3047624796925,25.3873341902244,25.46965896530525,25.55186026689455,25.63333130764025,25.713275599829302
Algeria,Life Expectancy (Years),70.478,70.823,71.23,71.287,71.762,72.061,72.334,72.602,72.941,73.62,73.808,74.123,74.202,74.615,75.11,75.622,75.732
Algeria,Protein (g/day),78.19821,79.70269,82.30619,84.587494,85.88035,86.67314,86.41436,85.9356,86.23912,89.44816,87.56365,89.055305,91.56232,91.22335,91.44489,91.66652,90.61299
Algeria,Fat (g/day),67.50999,72.0467,67.39199,62.781704,65.66594,63.43596,70.86122,69.308235,69.466675,67.64692,84.81443,94.12154,88.391846,98.06836,98.002495,94.26863,101.560135
Algeria,Carbs (g/day),480.07495145631066,487.0266990291262,504.11565533980576,522.9042961165048,519.379854368932,517.117718446602,524.5818689320389,527.4498786407767,529.0572330097087,545.6959466019417,521.2017718446601,523.6534223300971,537.7122572815533,534.245995145631,531.7161893203884,538.3227184466019,530.236213592233
American Samoa,Life Expectancy (Years),,,,,,,,,,,,,,,,,
American Samoa,BMI,34.34090979216395,34.354130966005144,34.357568171234846,34.3530180985675,34.3423675688159,34.326902358588754,34.3078068399591,34.28669780471979,34.265114596913,34.24352190994935,34.2218365271807,34.2009746752422,34.18100852653275,34.1617135881466,34.1431317453847,34.1251826802582,34.107792664723206
Andorra,Life Expectancy (Years),,,,,,,,,,,,,,,,,
Andorra,BMI,26.839130131893548,26.8711609517485,26.9003640619737,26.92644707228905,26.94910259588675,26.967013512986398,26.980117372333147,26.9882689922224,26.9908532017751,26.9878800575284,26.97901465022915,26.96534236422295,26.948271946832648,26.929531390862998,26.91059069116995,26.892112695105553,26.8750278381915
Angola,Life Expectancy (Years),46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092
Angola,Protein (g/day),33.525528,34.17604,36.52878,36.824547,36.5653,37.951504,38.96162,40.577007,43.329113,43.298622,46.78358,49.71176,51.19627,52.57524,58.564945,54.305336,50.4826
Angola,BMI,21.7433170512415,21.85837592677375,21.9733570074305,22.0876411245744,22.2006677106314,22.31159463051495,22.420578829124153,22.52753316170335,22.6321102419022,22.7340704528457,22.8336913081196,22.93174579583685,23.028553572175248,23.1244149684164,23.21948287556635,23.31371175478425,23.40651981765655
Angola,Fat (g/day),32.939445,33.43733,34.013073,36.790516,36.658924,38.419304,38.655907,39.80613,40.88066,41.37293,54.300945,57.20996,54.246513,56.664646,63.00424,59.182705,58.08022
Angola,Carbs (g/day),264.94038834951454,271.541140776699,285.2740776699029,293.40092233009705,303.7956553398058,308.01235436893205,314.4951699029126,320.4433980582524,328.6881796116505,337.6389077669903,408.0898300970874,415.6419902912621,409.801067961165,422.1677184466019,412.2362378640776,407.020072815534,402.30997572815534
Antigua and Barbuda,Life Expectancy (Years),74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,76.41,76.669,76.82,77.104,77.35,77.583,77.858,77.913,78.152
Antigua and Barbuda,BMI,25.25846446138145,25.360759126675248,25.461659122373447,25.561573243305602,25.66053774525695,25.7591394753822,25.857501470801402,25.95608785958465,26.0551700459053,26.154877204994598,26.25563743311805,26.35876816097925,26.4631914865824,26.569027366857803,26.67593563420165,26.78389166669345,26.89377817146795
Antigua and Barbuda,Carbs (g/day),300.0729368932039,289.7381796116505,284.0198058252427,282.8203155339806,291.4867233009709,318.78063106796117,313.22354368932037,326.0197572815534,320.30225728155335,306.40856796116503,293.84320388349516,298.34179611650484,297.50169902912626,305.89349514563105,316.00978155339806,316.1427184466019,322.7162621359223
