series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fat (g/person/day),44.901615,43.53989,44.144123,44.087612,44.69815,46.427483,48.096447,49.45454,48.038364,50.693,49.28713,49.012527,50.85021,50.69274,54.064037,54.2535,53.80644,56.70266,59.391624,59.47338,58.989704
Fat (g/person/day),42.96441,43.582676,44.587284,47.319702,46.983887,47.92679,48.695904,51.670826,50.62179,51.72888,45.32105,43.458298,46.915638,50.246487,51.069458,46.083553,57.705097,62.325832,60.46648,69.98966,69.41269
Fat (g/person/day),64.83061,64.857666,64.09846,66.62181,71.46892,69.089874,68.76057,72.593994,75.3582,78.418625,68.366974,69.95904,74.88112,76.639015,76.757164,73.62567,75.25064,75.30393,73.92019,80.35246,77.99809
Fat (g/person/day),47.990757,51.761578,47.226307,43.482727,53.58938,57.112747,53.5928,54.08074,59.910786,63.604214,62.859364,61.70525,55.708458,55.592693,57.36692,59.102325,59.26936,57.914524,55.159992,55.92486,53.35011
Fat (g/person/day),141.06967,137.25293,135.31511,135.42563,136.30266,135.31696,125.17907,127.44538,130.2357,127.59196,128.91745,129.65358,130.8073,127.310234,131.63756,136.10728,134.55293,148.45094,147.7147,148.56827,162.31607
Fat (g/person/day),126.917274,135.10995,138.34024,137.05034,145.13797,145.30705,148.6329,145.58768,148.07652,147.25404,142.44052,142.77966,149.10843,146.9982,150.4014,148.4061,153.4237,155.896,147.50916,141.8161,144.61652
Fat (g/person/day),153.73286,155.7984,156.4303,153.66591,151.15411,149.05946,158.18532,158.2826,157.60033,154.41507,158.30617,159.3953,159.73296,156.48807,148.92499,146.8566,147.93755,148.58066,147.24042,151.99373,155.70547
Fat (g/person/day),79.73727,81.96779,84.030205,86.01891,87.47474,86.89628,86.78415,87.529076,78.67053,74.92846,72.21563,77.21112,76.73903,76.74493,78.86126,79.64991,80.10763,82.10538,78.73382,84.6624,83.477325
Fat (g/person/day),89.4552,89.137505,87.817726,87.45376,89.55543,90.02906,88.904236,88.47338,88.23426,84.98017,86.51383,85.97903,87.016426,86.90011,87.53278,87.96452,87.01383,89.952995,89.79791,92.71096,91.60207
Fat (g/person/day),75.273796,82.338905,88.13359,78.27733,94.79116,85.90292,83.639244,83.187004,77.397804,83.51018,93.718254,94.866264,101.36245,98.73196,93.23815,91.13514,86.30055,86.05417,88.40004,89.86891,85.28498
Fat (g/person/day),69.59741,75.71376,80.76561,85.522224,87.74003,101.990166,105.47339,112.53046,116.564,114.54988,124.66699,124.731804,123.85586,125.64057,126.514755,126.53955,124.80723,125.875145,125.130325,129.32603,133.51976
Fat (g/person/day),47.396595,47.49141,46.08889,46.609543,47.50887,48.69242,48.388496,48.275814,47.8789,51.640507,52.16684,43.71966,42.988335,53.119102,43.65147,43.523136,42.164833,47.473217,48.03565,47.86726,51.60354
Fat (g/person/day),97.331604,92.0778,92.916626,93.01794,89.88871,92.794945,92.25276,91.9124,90.878624,92.27722,111.362175,116.91829,121.36397,120.67034,120.10644,119.12455,117.672386,117.68578,116.060715,110.4901,110.01191
Fat (g/person/day),114.70024,121.52508,117.81635,117.766335,118.89176,125.6355,125.66591,125.86573,126.4291,120.94047,118.19124,116.92216,108.62871,109.21692,104.18742,104.684784,103.86894,104.75048,106.25211,106.36338,103.85422
Fat (g/person/day),50.351357,50.71667,51.964397,52.81949,55.944233,55.48702,56.643326,59.58406,62.24237,61.216587,65.87933,64.69738,64.74535,65.65103,66.47773,66.340004,66.28784,66.8321,69.96338,73.85138,69.49789
Fat (g/person/day),26.231329,26.499163,27.368414,28.158844,29.235167,31.95802,32.05492,33.233284,34.017384,35.857773,36.505226,36.72469,37.290817,38.46868,42.917347,42.83503,45.200474,46.370388,45.989918,49.555492,50.893356
Fat (g/person/day),91.60792,100.24065,108.97964,111.49097,119.212105,118.38556,127.7777,123.66303,119.70512,120.16818,119.39832,119.71051,118.36573,120.629135,123.07655,125.3495,124.02286,127.278114,127.63476,134.64711,140.7399
